rank,name,networth,age,country,source,industry
35,Beate Heister & Karl Albrecht Jr. & family ,$36.8 B,64,Germany,supermarkets,Fashion & Retail 
36,Giovanni Ferrero ,$36.2 B,57,Italy,"Nutella, chocolates",Food & Beverage 
37,Li Ka-shing ,$34.8 B,93,Hong Kong,diversified,Diversified 
37,Stephen Schwarzman ,$34.8 B,75,United States,investments,Finance & Investments 
39,Lee Shau Kee ,$32.6 B,94,Hong Kong,real estate,Real Estate 
40,Len Blavatnik ,$32.5 B,64,United States,"music, chemicals",Diversified 
41,Jacqueline Mars ,$31.7 B,82,United States,"candy, pet food",Food & Beverage 
41,John Mars ,$31.7 B,86,United States,"candy, pet food",Food & Beverage 
43,Alain Wertheimer ,$31.2 B,73,France,Chanel,Fashion & Retail 
43,Gerard Wertheimer ,$31.2 B,71,France,Chanel,Fashion & Retail 
45,German Larrea Mota Velasco & family ,$30.8 B,68,Mexico,mining,Metals & Mining 
46,Gina Rinehart ,$30.2 B,68,Australia,mining,Metals & Mining 
47,Shiv Nadar ,$28.7 B,76,India,software services,Technology 
48,Jim Simons ,$28.6 B,83,United States,hedge funds,Finance & Investments 
49,He Xiangjian ,$28.3 B,79,China,home appliances,Manufacturing 
50,Miriam Adelson ,$27.5 B,76,United States,casinos,Gambling & Casinos 
51,Dietrich Mateschitz ,$27.4 B,77,Austria,Red Bull,Food & Beverage 
52,Leonardo Del Vecchio & family ,$27.3 B,86,Italy,eyeglasses,Fashion & Retail 
53,Ken Griffin ,$27.2 B,53,United States,hedge funds,Finance & Investments 
54,Tadashi Yanai & family ,$26.1 B,73,Japan,fashion retail,Fashion & Retail 
55,William Lei Ding ,$25.2 B,50,China,online games,Technology 
56,Susanne Klatten ,$24.3 B,59,Germany,"BMW, pharmaceuticals",Automotive 
56,Cyrus Poonawalla ,$24.3 B,80,India,vaccines,Healthcare 
56,Wang Wei ,$24.3 B,51,China,package delivery,Service 
59,Qin Yinglin ,$24.1 B,56,China,pig breeding,Food & Beverage 
60,Sam Bankman-Fried ,$24 B,30,United States,cryptocurrency exchange,Finance & Investments 
61,Takemitsu Takizaki ,$23.9 B,76,Japan,sensors,Manufacturing 
62,Li Shufu ,$23.7 B,58,China,automobiles,Automotive 
63,Emmanuel Besnier ,$23.5 B,51,France,cheese,Food & Beverage 
64,R. Budi Hartono ,$23.2 B,81,Indonesia,"banking, tobacco",Finance & Investments 
65,Leonard Lauder ,$23.1 B,89,United States,Estee Lauder,Fashion & Retail 
66,Guillaume Pousaz ,$23 B,40,Switzerland,fintech,Finance & Investments 
67,Iris Fontbona & family ,$22.8 B,79,Chile,mining,Metals & Mining 
67,Jack Ma ,$22.8 B,57,China,e-commerce,Technology 
69,Michael Hartono ,$22.3 B,82,Indonesia,"banking, tobacco",Manufacturing 
70,Eric Schmidt ,$22.1 B,66,United States,Google,Technology 
71,Ray Dalio ,$22 B,72,United States,hedge funds,Finance & Investments 
71,Daniel Gilbert ,$22 B,60,United States,Quicken Loans,Finance & Investments 
73,"Thomas Frist, Jr. & family ",$21.8 B,83,United States,hospitals,Healthcare 
74,Masayoshi Son ,$21.3 B,64,Japan,"internet, telecom",Telecom 
75,Abigail Johnson ,$21.2 B,60,United States,money management,Finance & Investments 
76,Rupert Murdoch & family ,$20.8 B,91,United States,"newspapers, TV network",Media & Entertainment 
77,Stefan Quandt ,$20.7 B,55,Germany,BMW,Automotive 
78,Jensen Huang ,$20.6 B,59,United States,semiconductors,Technology 
79,Huang Shilin ,$20.3 B,55,China,batteries,Automotive 
80,Thomas Peterffy ,$20.1 B,77,United States,discount brokerage,Finance & Investments 
81,Radhakishan Damani ,$20 B,67,India,"retail, investments",Fashion & Retail 
82,Pang Kang ,$19.6 B,66,China,soy sauce,Food & Beverage 
83,Wang Chuanfu ,$19.5 B,56,China,"batteries, automobiles",Automotive 
84,Reinhold Wuerth & family ,$19 B,86,Germany,fasteners,Manufacturing 
85,"Theo Albrecht, Jr. & family ",$18.7 B,71,Germany,"Aldi, Trader Joe's",Fashion & Retail 
85,Yang Huiyan & family ,$18.7 B,40,China,real estate,Real Estate 
87,Vladimir Lisin ,$18.4 B,65,Russia,"steel, transport",Metals & Mining 
88,Fan Hongwei & family ,$18.2 B,55,China,petrochemicals,Energy 
89,Lakshmi Mittal ,$17.9 B,71,India,steel,Metals & Mining 
90,Andrew Forrest ,$17.8 B,60,Australia,mining,Metals & Mining 
91,Jiang Rensheng & family ,$17.7 B,68,China,vaccines,Healthcare 
91,Savitri Jindal & family ,$17.7 B,72,India,steel,Metals & Mining 
91,Wang Wenyin ,$17.7 B,54,China,"mining, copper products",Metals & Mining 
94,Li Xiting ,$17.6 B,71,Singapore,medical devices,Healthcare 
94,Stefan Persson ,$17.6 B,74,Sweden,H&M,Fashion & Retail 
96,Steve Cohen ,$17.4 B,65,United States,hedge funds,Finance & Investments 
97,Vladimir Potanin ,$17.3 B,61,Russia,metals,Metals & Mining 
98,Harold Hamm & family ,$17.2 B,76,United States,oil & gas,Energy 
99,Sun Piaoyang ,$17.1 B,63,China,pharmaceuticals,Healthcare 
100,Luo Liguo & family ,$17 B,66,China,chemicals,Manufacturing 
100,Peter Woo ,$17 B,75,Hong Kong,real estate,Real Estate 
102,Gianluigi & Rafaela Aponte ,$16.8 B,81,Switzerland,Shipping,Logistics 
103,David Tepper ,$16.7 B,64,United States,hedge funds,Finance & Investments 
104,Renata Kellnerova & family ,$16.6 B,54,Czechia,"finance, telecommunications",Finance & Investments 
104,"John Menard, Jr. ",$16.6 B,82,United States,home improvement stores,Fashion & Retail 
106,Kumar Birla ,$16.5 B,54,India,commodities,Diversified 
106,Carl Icahn ,$16.5 B,86,United States,investments,Finance & Investments 
106,Hank & Doug Meijer ,$16.5 B,64,United States,supermarkets,Fashion & Retail 
106,Lukas Walton ,$16.5 B,35,United States,Walmart,Fashion & Retail 
110,Laurene Powell Jobs & family ,$16.4 B,58,United States,"Apple, Disney",Technology 
111,James Ratcliffe ,$16.3 B,69,United Kingdom,chemicals,Manufacturing 
112,Donald Bren ,$16.2 B,89,United States,real estate,Real Estate 
113,Xu Hang ,$16.1 B,55,Hong Kong,medical devices,Healthcare 
114,Lu Xiangyang ,$15.7 B,59,China,"automobiles, batteries",Automotive 
115,Dilip Shanghvi ,$15.6 B,66,India,pharmaceuticals,Healthcare 
116,Wei Jianjun & family ,$15.5 B,58,China,automobiles,Automotive 
117,Jorge Paulo Lemann & family ,$15.4 B,82,Brazil,beer,Food & Beverage 
117,Eyal Ofer ,$15.4 B,71,Israel,"real estate, shipping",Diversified 
119,Mike Cannon-Brookes ,$15.3 B,42,Australia,software,Technology 
119,Wu Yajun ,$15.3 B,58,China,real estate,Real Estate 
121,Charlene de Carvalho-Heineken & family ,$15.2 B,67,Netherlands,Heineken,Food & Beverage 
121,Michael Platt ,$15.2 B,54,United Kingdom,hedge funds,Finance & Investments 
123,Pavel Durov ,$15.1 B,37,Russia,messaging app,Technology 
123,Scott Farquhar ,$15.1 B,42,Australia,software,Technology 
125,Pallonji Mistry ,$15 B,92,Ireland,construction,Construction & Engineering 
126,Dang Yanbao ,$14.8 B,49,China,coal,Metals & Mining 
127,Robert Pera ,$14.6 B,44,United States,wireless networking gear,Technology 
128,Donald Newhouse ,$14.4 B,92,United States,media,Media & Entertainment 
129,Uday Kotak ,$14.3 B,63,India,banking,Finance & Investments 
130,Aliko Dangote ,$14 B,64,Nigeria,"cement, sugar",Manufacturing 
130,Leonid Mikhelson ,$14 B,66,Russia,"gas, chemicals",Energy 
132,Sunil Mittal & family ,$13.9 B,64,India,telecom,Telecom 
133,Robert & Philip Ng ,$13.7 B,64,Singapore,real estate,Real Estate 
134,Liu Hanyuan ,$13.65 B,58,China,agribusiness,Food & Beverage 
135,Joseph Lau ,$13.6 B,70,Hong Kong,real estate,Real Estate 
135,Anders Holch Povlsen ,$13.6 B,49,Denmark,fashion retail,Fashion & Retail 
137,Dhanin Chearavanont ,$13.5 B,82,Thailand,diversified,Diversified 
138,Gong Hongjia & family ,$13.2 B,57,Hong Kong,video surveillance,Finance & Investments 
138,Liu Yongxing ,$13.2 B,73,China,diversified,Service 
138,Alexey Mordashov ,$13.2 B,56,Russia,"steel, investments",Metals & Mining 
138,Wang Jianlin ,$13.2 B,67,China,real estate,Real Estate 
142,David Duffield ,$12.9 B,81,United States,business software,Technology 
142,Li Zhenguo & family ,$12.9 B,54,China,solar wafers and modules,Manufacturing 
144,Harry Triguboff ,$12.8 B,89,Australia,real estate,Real Estate 
144,Zhang Zhidong ,$12.8 B,50,China,internet media,Technology 
146,Chen Bang ,$12.7 B,56,China,hospitals,Healthcare 
146,John Doerr ,$12.7 B,70,United States,venture capital,Technology 
146,Hinduja brothers ,$12.7 B,64,United Kingdom,diversified,Diversified 
149,Kwong Siu-hing ,$12.6 B,92,Hong Kong,real estate,Real Estate 
150,Pei Zhenhua ,$12.5 B,63,China,batteries,Energy 
151,Ricardo Salinas Pliego & family ,$12.4 B,66,Mexico,"retail, media",Fashion & Retail 
152,Jim Pattison ,$12.2 B,93,Canada,diversified,Diversified 
152,Charles Schwab ,$12.2 B,84,United States,discount brokerage,Finance & Investments 
154,Goh Cheng Liang ,$12.1 B,94,Singapore,paints,Manufacturing 
154,Lin Jianhua & family ,$12.1 B,59,China,solar panel components,Manufacturing 
156,Charoen Sirivadhanabhakdi ,$12 B,77,Thailand,"alcohol, real estate",Food & Beverage 
156,Jeff Yass ,$12 B,63,United States,"trading, investments",Finance & Investments 
158,John Fredriksen ,$11.9 B,77,Cyprus,shipping,Logistics 
158,Andreas Struengmann & family ,$11.9 B,72,Germany,pharmaceuticals,Healthcare 
158,Thomas Struengmann & family ,$11.9 B,72,Germany,pharmaceuticals,Healthcare 
161,Mikhail Fridman ,$11.8 B,57,Russia,"oil, banking, telecom",Energy 
161,Sarath Ratanavadi ,$11.8 B,56,Thailand,energy,Energy 
163,Robert Kuok ,$11.7 B,98,Malaysia,"palm oil, shipping, property",Diversified 
163,Lei Jun ,$11.7 B,52,China,smartphones,Technology 
163,Zhang Congyuan ,$11.7 B,74,Taiwan,shoes,Fashion & Retail 
166,Lui Che Woo ,$11.6 B,93,Hong Kong,casinos/hotels,Gambling & Casinos 
167,Brian Chesky ,$11.5 B,40,United States,Airbnb,Technology 
167,Israel Englander ,$11.5 B,73,United States,hedge funds,Finance & Investments 
167,Dustin Moskovitz ,$11.5 B,37,United States,Facebook,Technology 
167,Alisher Usmanov ,$11.5 B,68,Russia,"steel, telecom, investments",Metals & Mining 
171,Jay Chaudhry ,$11.4 B,62,United States,security software,Technology 
171,Anthony Pratt ,$11.4 B,61,Australia,manufacturing,Manufacturing 
173,Colin Zheng Huang ,$11.3 B,42,China,e-commerce,Technology 
173,Jin Baofang ,$11.3 B,69,China,solar panels,Energy 
173,Pierre Omidyar ,$11.3 B,54,United States,"eBay, PayPal",Technology 
173,Gennady Timchenko ,$11.3 B,69,Russia,"oil, gas",Energy 
177,Carl Cook ,$11.1 B,59,United States,medical devices,Healthcare 
177,Andrey Melnichenko ,$11.1 B,50,Russia,"coal, fertilizers",Metals & Mining 
179,Xing Wang ,$11 B,43,China,e-commerce,Technology 
180,Philip Anschutz ,$10.9 B,82,United States,investments,Finance & Investments 
180,David Cheriton ,$10.9 B,71,Canada,Google,Technology 
180,Alexander Otto ,$10.9 B,54,Germany,real estate,Real Estate 
183,Diane Hendricks ,$10.7 B,75,United States,roofing,Construction & Engineering 
183,Stanley Kroenke ,$10.7 B,74,United States,"sports, real estate",Sports 
185,Jerry Jones ,$10.6 B,79,United States,Dallas Cowboys,Sports 
185,Quek Leng Chan ,$10.6 B,80,Malaysia,"banking, property",Diversified 
185,Eduardo Saverin ,$10.6 B,40,Brazil,Facebook,Technology 
188,Vagit Alekperov ,$10.5 B,71,Russia,oil,Energy 
188,Richard Liu ,$10.5 B,48,China,e-commerce,Technology 
188,Idan Ofer ,$10.5 B,66,Israel,"drilling, shipping",Diversified 
191,Melker Schorling & family ,$10.4 B,74,Sweden,investments,Finance & Investments 
192,"Chase Coleman, III. ",$10.3 B,46,United States,investments,Finance & Investments 
192,Shuirong Li ,$10.3 B,65,China,petrochemicals,Manufacturing 
192,Stefano Pessina ,$10.3 B,80,Monaco,drugstores,Fashion & Retail 
192,Mikhail Prokhorov ,$10.3 B,56,Russia,investments,Finance & Investments 
192,Marcel Herrmann Telles ,$10.3 B,72,Brazil,beer,Food & Beverage 
197,Leon Black ,$10 B,70,United States,private equity,Finance & Investments 
197,Joe Gebbia ,$10 B,40,United States,Airbnb,Technology 
197,David Geffen ,$10 B,79,United States,"movies, record labels",Media & Entertainment 
197,Yu Renrong ,$10 B,56,China,semiconductors,Manufacturing 
201,Andrew Beal ,$9.9 B,69,United States,"banks, real estate",Finance & Investments 
201,George Kaiser ,$9.9 B,79,United States,"oil & gas, banking",Energy 
201,Qi Shi & family ,$9.9 B,52,China,financial information,Technology 
201,Luis Carlos Sarmiento ,$9.9 B,89,Colombia,banking,Finance & Investments 
201,Andreas von Bechtolsheim & family ,$9.9 B,66,Germany,Google,Technology 
206,Jan Koum ,$9.8 B,46,United States,WhatsApp,Technology 
206,Jorge Moll Filho & family ,$9.8 B,77,Brazil,hospitals,Healthcare 
206,Azim Premji ,$9.8 B,76,India,software services,Technology 
206,Finn Rausing ,$9.8 B,67,Sweden,packaging,Food & Beverage 
206,Jorn Rausing ,$9.8 B,62,Sweden,packaging,Food & Beverage 
206,Kirsten Rausing ,$9.8 B,69,Sweden,packaging,Food & Beverage 
206,Wang Laisheng ,$9.8 B,57,China,electronics components,Technology 
213,Tom & Judy Love ,$9.7 B,64,United States,retail & gas stations,Fashion & Retail 
214,John Collison ,$9.5 B,31,Ireland,payments software,Technology 
214,Patrick Collison ,$9.5 B,33,Ireland,payment software,Technology 
214,Gordon Moore ,$9.5 B,93,United States,Intel,Technology 
214,Wang Laichun ,$9.5 B,54,China,electronics components,Technology 
218,Graeme Hart ,$9.4 B,66,New Zealand,investments,Finance & Investments 
218,Zheng Shuliang & family ,$9.4 B,76,China,aluminum products,Metals & Mining 
220,Cao Renxian ,$9.3 B,53,China,photovoltaic equipment,Energy 
221,Nathan Blecharczyk ,$9.2 B,38,United States,Airbnb,Technology 
221,James Dyson ,$9.2 B,74,United Kingdom,vacuums,Manufacturing 
223,Ivan Glasenberg ,$9.1 B,65,Switzerland,mining,Metals & Mining 
223,Kim Beom-su ,$9.1 B,56,South Korea,online services,Technology 
223,Jay Y. Lee ,$9.1 B,53,South Korea,Samsung,Diversified 
223,Liu Yonghao & family ,$9.1 B,70,China,agribusiness,Service 
227,Ann Walton Kroenke ,$9 B,73,United States,Walmart,Fashion & Retail 
227,Li Ping ,$9 B,54,Hong Kong,batteries,Automotive 
227,Eric Wittouck ,$9 B,75,Belgium,investments,Finance & Investments 
230,Ian & Richard Livingstone ,$8.9 B,64,United Kingdom,real estate,Real Estate 
230,Friedhelm Loh ,$8.9 B,75,Germany,manufacturing,Manufacturing 
230,Xavier Niel ,$8.9 B,54,France,"internet, telecom",Telecom 
230,Michael Otto ,$8.9 B,78,Germany,"retail, real estate",Fashion & Retail 
230,Johann Rupert & family ,$8.9 B,71,South Africa,luxury goods,Fashion & Retail 
235,Hui Ka Yan ,$8.8 B,63,China,real estate,Real Estate 
235,Pauline MacMillan Keinath ,$8.8 B,88,United States,Cargill,Food & Beverage 
235,"Herbert Kohler, Jr. & family ",$8.8 B,83,United States,plumbing fixtures,Manufacturing 
235,Li Ge ,$8.8 B,55,United States,pharmaceutical ingredients,Healthcare 
235,Kushal Pal Singh ,$8.8 B,90,India,real estate,Real Estate 
235,Zong Qinghou ,$8.8 B,76,China,beverages,Food & Beverage 
241,Cai Kui ,$8.7 B,59,China,real estate,Real Estate 
241,Charles Ergen ,$8.7 B,69,United States,satellite TV,Media & Entertainment 
241,Gao Jifan & family ,$8.7 B,57,China,solar equipment,Energy 
241,Bernard Marcus ,$8.7 B,92,United States,Home Depot,Fashion & Retail 
241,Nicky Oppenheimer & family ,$8.7 B,76,South Africa,diamonds,Metals & Mining 
246,Bajaj brothers ,$8.6 B,64,India,diversified,Diversified 
246,"Ernest Garcia, II. ",$8.6 B,64,United States,used cars,Automotive 
246,Paul Xiaoming Lee & family ,$8.6 B,64,United States,packaging,Manufacturing 
246,George Soros ,$8.6 B,91,United States,hedge funds,Finance & Investments 
246,Wang Liping & family ,$8.6 B,56,China,hydraulic machinery,Manufacturing 
251,Ernesto Bertarelli ,$8.5 B,56,Switzerland,"biotech, investments",Healthcare 
251,Tamara Gustavson ,$8.5 B,60,United States,self storage,Service 
251,Carlos Alberto Sicupira & family ,$8.5 B,74,Brazil,beer,Food & Beverage 
254,Laurent Dassault ,$8.4 B,68,France,diversified,Diversified 
254,Thierry Dassault ,$8.4 B,65,France,diversified,Diversified 
254,Marie-Hélène Habert-Dassault ,$8.4 B,57,France,diversified,Diversified 
254,Liu Jincheng & family ,$8.4 B,57,China,lithium batteries,Technology 
254,Ma Jianrong & family ,$8.4 B,58,China,"textiles, apparel",Fashion & Retail 
254,Steven Rales ,$8.4 B,71,United States,"manufacturing, investments",Manufacturing 
254,Joseph Tsai ,$8.4 B,58,Canada,e-commerce,Technology 
254,Francine von Finck & family ,$8.4 B,64,Germany,investments,Finance & Investments 
254,Anthony von Mandl ,$8.4 B,72,Canada,alcoholic beverages,Food & Beverage 
263,Carl Bennet ,$8.3 B,70,Sweden,investments,Finance & Investments 
263,Robert Kraft ,$8.3 B,80,United States,New England Patriots,Sports 
263,Chairul Tanjung ,$8.3 B,59,Indonesia,diversified,Diversified 
263,Manuel Villar ,$8.3 B,72,Philippines,real estate,Real Estate 
267,Jean-Michel Besnier ,$8.2 B,54,France,cheese,Food & Beverage 
267,Marie Besnier Beauvalot ,$8.2 B,41,France,cheese,Food & Beverage 
267,Gustaf Douglas ,$8.2 B,84,Sweden,investments,Diversified 
267,Kjeld Kirk Kristiansen ,$8.2 B,74,Denmark,Lego,Manufacturing 
267,Sofie Kirk Kristiansen ,$8.2 B,46,Denmark,Lego,Manufacturing 
267,Thomas Kirk Kristiansen ,$8.2 B,43,Denmark,Lego,Manufacturing 
267,Stephen Ross ,$8.2 B,81,United States,real estate,Real Estate 
267,Agnete Kirk Thinggaard ,$8.2 B,38,Denmark,Lego,Manufacturing 
275,Marc Benioff ,$8.1 B,57,United States,business software,Technology 
275,Dmitri Bukhman ,$8.1 B,36,Israel,online games,Media & Entertainment 
275,Igor Bukhman ,$8.1 B,40,Israel,online games,Media & Entertainment 
275,Francis Choi ,$8.1 B,74,Hong Kong,real estate,Real Estate 
275,Murali Divi & family ,$8.1 B,71,India,pharmaceuticals,Healthcare 
275,Nancy Walton Laurie ,$8.1 B,70,United States,Walmart,Fashion & Retail 
275,Georg Schaeffler ,$8.1 B,57,Germany,auto parts,Automotive 
275,Yao Liangsong ,$8.1 B,57,China,furniture,Manufacturing 
275,Zhong Huijuan ,$8.1 B,61,China,pharmaceuticals,Healthcare 
284,Stewart & Lynda Resnick ,$8 B,64,United States,"agriculture, water",Food & Beverage 
284,George Roberts ,$8 B,78,United States,private equity,Finance & Investments 
284,Michael Rubin ,$8 B,49,United States,online retail,Fashion & Retail 
284,Patrick Ryan ,$8 B,84,United States,insurance,Finance & Investments 
288,Christopher Hohn ,$7.9 B,55,United Kingdom,hedge funds,Finance & Investments 
288,Marijke Mars ,$7.9 B,57,United States,"candy, pet food",Food & Beverage 
288,Pamela Mars ,$7.9 B,61,United States,"candy, pet food",Food & Beverage 
288,Valerie Mars ,$7.9 B,63,United States,"candy, pet food",Food & Beverage 
288,Victoria Mars ,$7.9 B,65,United States,"candy, pet food",Food & Beverage 
288,Hasso Plattner & family ,$7.9 B,78,Germany,software,Technology 
288,Georg Stumpf ,$7.9 B,49,Austria,"real estate, construction",Diversified 
288,Christy Walton ,$7.9 B,73,United States,Walmart,Fashion & Retail 
296,Giorgio Armani ,$7.8 B,87,Italy,luxury goods,Fashion & Retail 
296,Gopikishan Damani ,$7.8 B,64,India,"retail, investments",Fashion & Retail 
296,Ding Shizhong & family ,$7.8 B,51,China,sports apparel,Fashion & Retail 
296,Jim Kennedy ,$7.8 B,74,United States,"media, automotive",Media & Entertainment 
296,German Khan ,$7.8 B,60,Russia,"oil, banking, telecom",Energy 
296,Liang Wengen ,$7.8 B,65,China,construction equipment,Manufacturing 
296,Blair Parry-Okeden ,$7.8 B,71,United States,"media, automotive",Media & Entertainment 
296,Tsai Eng-meng ,$7.8 B,65,Taiwan,"food, beverages",Food & Beverage 
304,Bajaj siblings ,$7.7 B,64,India,"two-wheelers, finance",Automotive 
304,Ashwin Dani & family ,$7.7 B,79,India,paints,Manufacturing 
304,Ding Shijia ,$7.7 B,58,China,sports apparel,Fashion & Retail 
304,Karel Komarek ,$7.7 B,53,Czechia,"oil and gas, IT, lotteries",Gambling & Casinos 
304,Henry Kravis ,$7.7 B,78,United States,private equity,Finance & Investments 
304,Frederik Paulsen ,$7.7 B,71,Sweden,health care,Healthcare 
304,Safra siblings ,$7.7 B,64,Brazil,banking,Finance & Investments 
304,Nassef Sawiris ,$7.7 B,61,Egypt,"construction, investments",Construction & Engineering 
304,Xu Shihui ,$7.7 B,64,China,"snacks, beverages",Food & Beverage 
313,Rahel Blocher ,$7.6 B,46,Switzerland,chemicals,Manufacturing 
313,Shahid Khan ,$7.6 B,71,United States,auto parts,Automotive 
313,Magdalena Martullo-Blocher ,$7.6 B,53,Switzerland,chemicals,Manufacturing 
316,Vincent Bolloré & family ,$7.5 B,70,France,investments,Finance & Investments 
316,Jeffery Hildebrand ,$7.5 B,63,United States,oil,Energy 
316,Michael Kim ,$7.5 B,58,United States,private equity,Finance & Investments 
316,Richard Kinder ,$7.5 B,77,United States,pipelines,Energy 
316,David Shaw ,$7.5 B,71,United States,hedge funds,Finance & Investments 
321,John Malone ,$7.4 B,81,United States,cable television,Media & Entertainment 
321,Vicky Safra ,$7.4 B,69,Greece,banking,Finance & Investments 
321,Tim Sweeney ,$7.4 B,51,United States,video games,Media & Entertainment 
324,Mike Adenuga ,$7.3 B,68,Nigeria,"telecom, oil",Diversified 
324,David Green & family ,$7.3 B,80,United States,retail,Fashion & Retail 
324,"Paul Tudor Jones, II. ",$7.3 B,67,United States,hedge funds,Finance & Investments 
324,Yuri Milner ,$7.3 B,60,Israel,tech investments,Finance & Investments 
324,Henry Samueli ,$7.3 B,67,United States,semiconductors,Technology 
324,Patrick Soon-Shiong ,$7.3 B,69,United States,pharmaceuticals,Healthcare 
330,Antonia Ax:son Johnson & family ,$7.2 B,78,Sweden,diversified,Diversified 
330,Michael Kadoorie ,$7.2 B,80,Hong Kong,"hotels, energy",Energy 
330,Lin Shu-hong ,$7.2 B,93,Taiwan,petrochemicals,Manufacturing 
330,Niels Peter Louis-Hansen ,$7.2 B,74,Denmark,medical devices,Healthcare 
330,Reinhold Schmieding ,$7.2 B,67,United States,medical devices,Healthcare 
330,Wee Cho Yaw ,$7.2 B,93,Singapore,banking,Finance & Investments 
336,Silvio Berlusconi & family ,$7.1 B,85,Italy,media,Diversified 
336,Arthur Blank ,$7.1 B,79,United States,Home Depot,Sports 
336,Qian Dongqi & family ,$7.1 B,64,China,home-cleaning robots,Manufacturing 
336,J. Christopher Reyes ,$7.1 B,68,United States,food distribution,Food & Beverage 
336,Jude Reyes ,$7.1 B,66,United States,food distribution,Food & Beverage 
336,Nik Storonsky ,$7.1 B,37,United Kingdom,fintech,Finance & Investments 
336,Zhou Qunfei & family ,$7.1 B,52,Hong Kong,smartphone screens,Technology 
343,Deng Weiming & family ,$7 B,53,China,battery components,Manufacturing 
343,Judy Faulkner ,$7 B,78,United States,health IT,Technology 
343,Robin Li ,$7 B,53,China,internet search,Technology 
343,Carrie Perrodo & family ,$7 B,71,France,oil,Energy 
343,David Reuben ,$7 B,83,United Kingdom,"investments, real estate",Real Estate 
343,Simon Reuben ,$7 B,80,United Kingdom,"real estate, investments",Diversified 
343,Seo Jung-jin ,$7 B,64,South Korea,biotech,Healthcare 
350,Roman Abramovich ,$6.9 B,55,Russia,"steel, investments",Diversified 
350,Micky Arison ,$6.9 B,72,United States,Carnival Cruises,Service 
350,Edythe Broad & family ,$6.9 B,86,United States,"homebuilding, insurance",Diversified 
350,Terry Gou ,$6.9 B,71,Taiwan,electronics,Technology 
350,Jiang Bin ,$6.9 B,55,China,acoustic components,Technology 
350,Vinod Khosla ,$6.9 B,67,United States,venture capital,Technology 
350,Ralph Lauren ,$6.9 B,82,United States,apparel,Fashion & Retail 
350,Douglas Leone ,$6.9 B,64,United States,venture capital,Finance & Investments 
350,Lucia Maggi & family ,$6.9 B,89,Brazil,agribusiness,Diversified 
350,Horst Julius Pudwill ,$6.9 B,77,Germany,manufacturing,Manufacturing 
350,Abdulsamad Rabiu ,$6.9 B,61,Nigeria,"cement, sugar",Diversified 
350,Harry Stine ,$6.9 B,80,United States,agriculture,Food & Beverage 
350,Dennis Washington ,$6.9 B,87,United States,"construction, mining",Logistics 
363,Hasmukh Chudgar & family ,$6.8 B,88,India,pharmaceuticals,Healthcare 
363,Stanley Druckenmiller ,$6.8 B,68,United States,hedge funds,Finance & Investments 
363,Jonathan Gray ,$6.8 B,52,United States,investments,Finance & Investments 
