Time,Sym,C/P,Exp,Strike,Spot,BidAsk,Orders,Vol,Prems,OI,Diff(%),ITM
6/1/2022 12:20,FYBR,Call,1/20/2023,30,26.42,2.88,6,1.45K,451.59K,6,13.95,0
6/1/2022 11:44,QQQ,Put,7/15/2022,280,305.21,5.64,45,19.32K,10.46M,20.71K,9.24,1
6/1/2022 11:38,UAL,Put,12/16/2022,42,45.24,5.58,18,1.46K,818.72K,155,7.72,1
6/1/2022 11:22,PLUG,Put,12/16/2022,15,18.07,2.6,6,855,222.68K,1.90K,20.63,1
6/1/2022 11:07,PARA,Put,9/16/2022,32.5,32.74,3.32,8,1.01K,336.79K,9.82K,0.78,1
6/1/2022 10:56,NKLA,Call,7/15/2022,8,6.93,0.72,5,3.24K,240.78K,62.30K,15.49,0
6/1/2022 10:23,EBAY,Put,8/19/2022,47.5,47.58,3.43,6,1.04K,337.56K,153,1.03,1
6/1/2022 10:17,MSFT,Call,7/15/2022,300,273.89,2.26,16,2.77K,687.31K,6.09K,9.11,0
6/1/2022 9:53,IWM,Put,9/16/2022,185,185.35,11.01,6,1.16K,1.27M,29.60K,0.43,1
5/31/2022 15:59,ESTC,Call,11/18/2022,85,61.64,4.55,7,1.06K,492.78K,20,37.5,0
5/31/2022 15:47,CHWY,Put,6/3/2022,25,25.07,2.3,5,958,218.71K,411,0.48,1
5/31/2022 15:23,FND,Put,7/15/2022,75,75.8,5.3,5,293,163.31K,52,1.07,1
5/31/2022 15:20,GM,Call,3/17/2023,40,38.65,5.28,6,624,329.66K,1,3.6,0
5/31/2022 15:01,C,Put,10/21/2022,52.5,53.19,3.98,5,546,216.10K,3.13K,1.55,1
5/31/2022 12:57,MULN,Call,10/21/2022,2.5,1.41,0.23,5,6.36K,169.43K,39.72K,76.68,0
5/31/2022 12:20,NTES,Put,9/16/2022,90,104.06,5.45,5,390,214.50K,875,15.96,0
5/31/2022 12:07,MULN,Call,1/20/2023,3,1.38,0.28,5,7.58K,227.49K,1.12K,117.94,0
5/31/2022 12:06,AR,Call,1/19/2024,55,44.81,10.55,5,712,777.20K,1.30K,22.6,0
5/31/2022 11:56,SNAP,Call,10/21/2022,17,14.51,2.16,5,719,156.02K,412,17.18,0
5/31/2022 11:49,MOS,Call,7/15/2022,65,62.63,3.92,5,1.11K,425.99K,1.72K,4.47,0
5/31/2022 11:31,INTC,Put,6/16/2023,40,44.13,4.12,5,478,198.67K,11.10K,10.33,1
5/31/2022 11:29,CXW,Put,1/20/2023,12,12.99,1.6,5,1.80K,289.25K,1.23K,8.3,1
5/31/2022 11:27,MRVL,Put,11/18/2022,52.5,58.95,5.05,6,633,322.83K,289,12.3,1
5/31/2022 11:14,UAL,Put,1/20/2023,45,47.71,6.58,5,500,332.84K,13.48K,5.92,1
5/31/2022 11:13,S,Put,6/17/2022,25,25.72,2.12,5,1.98K,441.92K,3.11K,3.17,1
5/31/2022 10:59,WDC,Put,7/15/2022,60,60.79,3.7,6,594,220.48K,11.15K,1.32,1
5/31/2022 10:26,UBER,Put,11/18/2022,15,23.52,0.81,5,4.59K,374.46K,2.31K,56.41,0
5/31/2022 10:25,SNAP,Call,6/17/2022,15,14.38,0.86,6,2.70K,236.20K,8.60K,4.23,1
5/31/2022 10:04,GDX,Call,12/16/2022,33,32.35,3.32,5,3.71K,1.27M,707,1.52,1
5/31/2022 9:57,BX,Put,9/16/2022,115,117.96,10.48,8,1.70K,1.82M,1.33K,2.57,1
5/27/2022 15:34,OKTA,Put,6/17/2022,79,85.78,4.47,5,342,154.93K,78,8.73,1
5/27/2022 14:23,ATHM,Call,7/15/2022,40,33.66,0.85,5,1.49K,134.46K,16,19,0
5/27/2022 14:07,MRVL,Call,9/16/2022,65,60.24,4.9,6,1.93K,956.95K,937,7.89,0
5/27/2022 13:41,SHOP,Call,6/3/2022,400,365.51,4.1,6,1.02K,429.72K,1.55K,9.79,1
5/27/2022 13:30,PXD,Call,7/15/2022,320,278.28,3.02,5,482,152.34K,26,15.1,0
5/27/2022 12:57,PARA,Call,9/16/2022,37.5,33.69,1.84,5,2.04K,374.62K,7.69K,11.33,0
5/27/2022 12:45,NIO,Put,6/10/2022,16,16.31,1.04,6,4.39K,466.90K,2.62K,1.96,1
5/27/2022 12:39,RBAC,Call,9/16/2022,12.5,10.18,1.6,5,1.95K,270.05K,4.71K,26.72,0
5/27/2022 12:34,AVYA,Put,1/19/2024,3,3.76,1.12,5,9.18K,1.06M,7.81K,25.5,0
5/27/2022 12:17,BMY,Put,6/16/2023,75,76.39,6.75,6,897,618.93K,1.26K,1.84,1
5/27/2022 12:14,WFC,Put,1/19/2024,40,45.69,4.42,5,517,232.65K,25.21K,14.21,1
5/27/2022 12:01,TWTR,Put,1/20/2023,35,40.4,4.57,5,455,219.57K,36.39K,14.17,0
